,No,Tanggal,Keterangan JKB,Sumber Informasi,Waktu Informasi,Alamat Kejadian, RT , RW ,Kelurahan,Kecamatan,Wilayah,Objek Kejadian Awal,Kode Objek Bencana,Kategori Objek Bencana,Objek Kejadian Lainnya,Kode Objek Bencana Lainnya,Kategori Objek Bencana Lainnya,ID Bang,Jenis Bangunan,ID Sebab,Sebab Kejadian,Keterangan Sebab Kejadian,Waktu Respon,Menit Respon,JUMLAH UNIT,JUMLAH SDM,Lama Operasi -  Hari,Lama Operasi - Jam,Lama Operasi -  Menit,Luas Area Kejadian,Petugas Mati,Petugas  Luka,Masyarakat Mati,Masyarakat Luka,Objek BP,Objek BUP,Objek BI,Objek KD,Objek LN,Jumlah KK,Jumlah Jiwa, Taksiran Kerugian ,Kronologis Kejadian,Keterangan
,21,09/Januari/2013  (Rabu),Bencana Kebakaran,Masyarakat,12:38,Jl. Raya Poncol No. 100,,,Ciracas,Ciracas, Kota Administrasi Jakarta Timur,Percetakan,BU,Bangunan Umum dan Perdagangan,,,,BM,Bangunan Menengah,LS,Listrik,Arus Pendek,12:43,00:05,1,5,0,1,12,9, - , - , - , - , - , 1 , - , - , - ,0,0," 30,000,000 ",Diduga Dari hubungan arus pendek listrik sehingga terjadi kebakaran,
,22,09/Januari/2013  (Rabu),Bencana Kebakaran,Masyarakat,20:35,Jl. Sawo Kecil, 5 , 8 ,Pulo Gebang,Cakung, Kota Administrasi Jakarta Timur,Kabel Tiang Listrik,LN,Lain-Lain,,,,,,LS,Listrik,Arus Pendek,20:40,00:05,1,5,0,0,40,2, - , - , - , - , - , - , - , - , 1 ,0,0," 200,000 ",Diduga Dari hubungan singkat arus pendek pada kabel tiang listrik menimbulkan percika api sehingga terbakar,
,23,09/Januari/2013  (Rabu),Bencana Kebakaran,Masyarakat,01:50,Jl. Tanggul Barat Cengkareng Drain , 19 , 12 ,Kapuk,Cengkareng, Kota Administrasi Jakarta Barat,Lapak Pemulung,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek,01:55,00:05,22,110,0,1,55,875, - , - , - , - , - , 1 , - , - , - ,20,60," 650,000,000 ","Diduga akibat arus pendek pada installasi listrik atap rumah (Fong), kemudian menyambar teriplek dan menimbulkan kebakaran.",
,24,09/Januari/2013  (Rabu),Bencana Kebakaran,Masyarakat,20:10,Jl. Utan Kayu Utara,,,Utan Kayu Utara,Matraman, Kota Administrasi Jakarta Timur,Kantin Kampus,BU,Bangunan Umum dan Perdagangan,,,,BM,Bangunan Menengah,LN,Lain,Putung Rokok,20:17,00:07,6,30,0,0,20,24, - , - , - , - , - , 1 , - , - , - ,0,0," 500,000 ",Diduga dari orang membuang putung rokok mengenai bahan yang mudah terbakar sehingga membesar,
,25,10/Januari/2013  (Kamis),Bencana Kebakaran,Masyarakat,14:50,Jl. Kedoya Raya,,,Kedoya Selatan,Kebun Jeruk, Kota Administrasi Jakarta Barat,Mobil Carry,KD,Kendaraan,,,,,,LS,Listrik,Arus Pendek,14:55,00:05,1,5,0,0,40,, - , - , - , - , - , - , - , 1 , - ,0,0," 50,000,000 ","Hubungan singkat pada selang karburator, timbul api sehingga mobil terbakar",
,26,10/Januari/2013  (Kamis),Bencana Kebakaran,Masyarakat,13:45,Jl. Rahayu Raya, 5 , 3 ,Kalisari,Pasar Rebo, Kota Administrasi Jakarta Timur,Ruko,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek,13:52,00:07,12,60,0,0,45,50, - , - , - , - , - , 1 , - , - , - ,1,5," 100,000,000 ","Hubungan singkat pada plafon, timbul api sehingga menyambar tumpukan gas dan gas meledak lalu terjadi kebakaran",
,27,10/Januari/2013  (Kamis),Bencana Kebakaran,Masyarakat,15:10,Jl. Sunter Agung Blok. A,,,Sunter Agung,Tanjung Priok, Kota Administrasi Jakarta Utara,Bedeng,BP,Bangunan Perumahan,Motor,KD,Kendaraan,BR,Bangunan Rendah,LS,Listrik,Arus Pendek,15:20,00:10,5,25,0,0,30,15, - , - , - , - , 2 , - , - , 2 , - ,0,0," 30,000,000 ","Hubungan singkat pada kabel dispenser timbul api, menyambar dinding triplek sehingga 2 bedeng dan 2 motor terbakar",
,28,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,13:15,Jl. Aida Suwarno, 5 , 8 ,Pulo Gebang,Cakung, Kota Administrasi Jakarta Timur,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,13:20,00:05,1,5,0,0,20,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,29,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,11:00,Jl. Asem II   No.96, 13 , 2 ,Cipete Selatan,Cilandak, Kota Administrasi Jakarta Selatan,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,11:05,00:05,4,20,0,1,15,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,Menimpa rumah warga dan mobil
,30,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:05,Jl. Asrama Pemadam,,,Semper Barat,Cilincing, Kota Administrasi Jakarta Utara,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,14:10,00:05,1,5,0,0,45,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,31,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,19:57,Jl. Benda Raya, 10 , 4 ,Cilandak Timur,Pasar Minggu, Kota Administrasi Jakarta Selatan,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,20:05,00:08,2,10,0,1,53,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,32,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,15:00,Jl. Danau Sunter Utara,,,Sunter Agung,Tanjung Priok, Kota Administrasi Jakarta Utara,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,15:10,00:10,1,5,0,0,30,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,33,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,15:40,Jl. Enggano,,,Tanjung Priok,Tanjung Priok, Kota Administrasi Jakarta Utara,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,15:45,00:05,1,5,0,0,50,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,34,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,15:20,Jl. Gunung Sahari,,,Bungur ,Senen, Kota Administrasi Jakarta Pusat,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,15:25,00:05,2,10,0,2,40,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,35,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:22,Jl. Kamal Raya,,,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,14:27,00:05,1,5,0,1,18,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,36,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:25,Jl. Kembangan Utara, 2 , 10 ,Kembangan Utara,Kembangan, Kota Administrasi Jakarta Barat,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,14:30,00:05,1,5,0,1,35,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,Pohon menimpa rumah Bp. Sairin
,37,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:30,Jl. Kembangan Utara, 2 , 9 ,Kembangan Utara,Kembangan, Kota Administrasi Jakarta Barat,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,14:35,00:05,1,5,0,1,5,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,38,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,13:55,Jl. Makam Wijaya Kusuma,,,Wijaya Kusuma,Grogol Petamburan, Kota Administrasi Jakarta Barat,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,14:00,00:05,1,5,0,2,20,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,39,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,16:25,Jl. Mawar Luar,,,Tugu Utara,Koja, Kota Administrasi Jakarta Utara,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,16:30,00:05,1,5,0,0,55,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,
,40,10/Januari/2013  (Kamis),Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:35,Jl. Menceng Raya,,,Cengkareng Timur,Cengkareng, Kota Administrasi Jakarta Barat,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Angin Kencang,14:40,00:05,1,5,0,1,25,, - , - , - , - , - , - , - , - , 1 ,0,0, - ,Angin Kencang menyebabkan pohon tumbang,Pohon Menimpa rumah Warga
