no,tanggal,keterangan_jkb,sumber_informasi,waktu_informasi,alamat_kejadian,rt,rw,kelurahan,kecamatan,wilayah,objek_kejadian_awal,kode_objek_bencana,kategori_objek_bencana,objek_kejadian_lainnya,kode_objek_bencana_lainnya,kategori_objek_bencana_lainnya,id_bangunan,jenis_bangunan,id_sebab,sebab_kejadian,keterangan_sebab_kejadian,waktu_respon,menit_respon,jumlah_unit,jumlah_sdm,lama_operasi_hari,lama_operasi_jam,lama_operasi_menit,luas_area_kejadian,petugas_mati,petugas_luka,masyarakat_mati,masyarakat_luka,objek_bp,objek_bup,objek_bi,objek_kd,objek_ln,jumlah_kk,jumlah_jiwa,taksiran_kerugian,kronologis_kejadian,keterangan
556,2/26/2013,Bencana Kebakaran,Masyarakat,17:40,Jl. M. H. Thamrin No.8,,,Kampung Bali,Tanah Abang,Jakarta Pusat,Gedung BPPT,LN,Lain-Lain,,,,BT,Bangunan Tinggi,RK,Rokok,Rokok,17:54,14,8,50,0,0,35,9,0,0,0,0,-,1,-,-,-,0,0,5000000,Diduga ada salah satu pekerja yang membuang sisa puntung rokok yang masih menyala yang mengakibatkan kebakaran karena jatuh di atas tumpukan sampah kertas yang ada di sudut tangga darurat,
557,2/26/2013,Bencana Kebakaran,Masyarakat,23:55,Jl. Raya Bogor,,,Kampung Tengah,Kramat Jati,Jakarta Timur,Pasar Induk,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LN,Lain,Panas Mesin Bumbu,0:00,5,14,70,0,2,5,150,0,0,0,0,-,36,-,-,-,0,0,1300000000,Diduga uap panas bensin pada mesin bumbu,
558,2/27/2013,Bencana Kebakaran,Petugas Pemadam,6:05,Jl. Pisangan Baru Selatan No.11,1,7,Pisangan Baru,Matraman,Jakarta Timur,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,KP,Kompor,Kompor,6:05,0,0,0,0,0,5,,0,0,0,1,1,-,-,-,-,0,0,300000,Akibat Kompor Meledak dan membakar benda di sekelilingnya,Dapat Diatasi Warga Menggunakan APAR
559,2/27/2013,Pertolongan Gawat Darurat (Ambulan Transportasi).,Petugas Instansi Lain,12:45,Jl. Otista III Komplek X,,,Bidara Cina,Jatinegara,Jakarta Timur,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Hujan Deras Angin Kencang,12:55,10,1,5,0,1,45,,0,0,0,0,-,-,-,-,1,0,0,NA,Akibat angin kencang pohon sudah tua sehingga roboh menimpa 3 unit mobil,
560,2/28/2013,Bencana Kebakaran,Masyarakat,3:30,Jl. SMA 64,8,2,Cipayung,Cipayung,Jakarta Timur,Gudang Kasur,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,3:37,7,11,55,0,1,30,360,0,0,0,0,-,1,-,-,-,1,6,100000000,"Hubungan singkat di atas plafon, api membesar sehingga gudang kasur terbakar",
561,2/28/2013,Bencana Kebakaran,Masyarakat,8:00,Jl. T.B Simatupang,2,8,Pasar Minggu,Pasar Minggu,Jakarta Selatan,Bedeng,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,8:05,5,11,55,0,0,40,50,0,0,0,0,-,1,-,-,-,0,0,50000000,"Diduga akibat arus pendek pada kebel instalasi listrik yang ada di dalam bedeng tersebut, sehingga menimbulkan percikan api dan menyambar bahan yang mudah terbakar sehingga api membesar.",
562,2/28/2013,Bencana Kebakaran,Masyarakat,14:15,"Jl. Cimpedak 3, No. 31",14,9,Srengseng Sawah,Jagakarsa,Jakarta Selatan,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,KP,Kompor,Gas,14:20,5,13,65,0,1,0,40,0,0,0,0,2,-,-,-,-,2,7,160000000,"Diduga akibat kebocoran pada selang kompor gas, sehingga menyebabkan kebakaran.",Yang terbakar : Sebagian Rumah dan kontrakan.
563,2/28/2013,Bencana Kebakaran,Masyarakat,16:50,Jln. Antara,,,Pasar Baru,Sawah Besar,Jakarta Pusat,Ruang Kompresor Listrik,BU,Bangunan Umum dan Perdagangan,,,,BM,Bangunan Menengah,LS,Listrik,Arus Pendek Listrik,16:55,5,2,8,0,0,15,50,0,0,0,0,-,1,-,-,-,0,0,3000000,Diduga akibat konsleting listrik pada ruang kompresor sehingga menyebabkan kebakaran,
564,2/28/2013,Bencana Kebakaran,Masyarakat,20:35,Jln. Batu Sari,12,2,Batu Ampar,Kramat Jati,Jakarta Timur,Kabel Listrik PLN,LN,Lain-Lain,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,20:40,5,1,5,0,0,15,1,0,0,0,0,-,-,-,-,1,0,0,100000,Diduga akibat konsleting listrik pada kabel sehingga api menjalar dengan cepat dan membesar,Kebakaran dapat dipadamkan oleh warga setempat
565,3/1/2013,Bencana Kebakaran,Petugas Instansi Lain,3:05,Jln. Tol Jagorawi,,,Cawang,Kramat Jati,Jakarta Timur,Mobil Honda Accord B 1548 HD,KD,Kendaraan,,,,,,LS,Listrik,Arus Pendek Listrik,3:12,7,1,5,0,0,35,6,0,0,0,0,-,-,-,1,-,0,0,180000000,Diduga akibat konsleting listrik pada kabel accu sehingga api menjalar dengan cepat dan membesar,
