no,tanggal,keterangan_jkb,sumber_informasi,waktu_informasi,alamat_kejadian,rt,rw,kelurahan,kecamatan,wilayah,objek_kejadian_awal,kode_objek_bencana,kategori_objek_bencana,objek_kejadian_lainnya,kode_objek_bencana_lainnya,kategori_objek_bencana_lainnya,id_bangunan,jenis_bangunan,id_sebab,sebab_kejadian,keterangan_sebab_kejadian,waktu_respon,menit_respon,jumlah_unit,jumlah_sdm,lama_operasi_hari,lama_operasi_jam,lama_operasi_menit,luas_area_kejadian,petugas_mati,petugas_luka,masyarakat_mati,masyarakat_luka,objek_bp,objek_bup,objek_bi,objek_kd,objek_ln,jumlah_kk,jumlah_jiwa,taksiran_kerugian,kronologis_kejadian,keterangan
513,2/9/2013,Bencana pada Air (operasi penyelamatan pada Air),Masyarakat,19:25,Jl. Pondok Labu Bawah,7,7,Pondok Labu,Cilandak,Jakarta Selatan,Evakuasi Banjir,LN,Lain-Lain,,,,,,LN,Lain,Evakuasi Korban Banjir,19:30,5,1,5,0,1,55,,0,0,0,0,-,-,-,-,1,0,0,NA,Evakuasi korban banjir,
514,2/9/2013,Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,23:18,Jl. Bintaro Permai,11,9,Bintaro,Pesanggrahan,Jakarta Selatan,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Hujan Deras Angin Kencang,23:23,5,1,5,0,0,52,,0,0,0,0,-,-,-,-,1,0,0,NA,Evakuasi korban banjir,
515,2/10/2013,Bencana pada Air (operasi penyelamatan pada Air),Petugas Instansi Lain,11:00,Jl. Mairin,13,3,Ulujami,Pesanggrahan,Jakarta Selatan,Penyedotan,LN,Lain-Lain,,,,,,LN,Lain,Banjir,11:05,5,1,6,0,4,45,"1,500",0,0,0,0,-,-,-,-,1,0,0,NA,Pembersihan akibat banjir SMPN 267,
516,2/10/2013,Bencana pada Air (operasi penyelamatan pada Air),Petugas Pemadam,6:30,Pejagalan,," 8,9,12,13 ",Pejagalan,Penjaringan,Jakarta Utara,Pembersihan Lingkungan,LN,Lain-Lain,,,,,,LN,Lain,Banjir,6:35,5,2,8,0,5,30,,0,0,0,0,-,-,-,-,1,0,0,NA,Kegiatan Baksos pembersihan linkungan pasca banjir,
517,2/10/2013,Bencana pada Air (operasi penyelamatan pada Air),Petugas Pemadam,10:00,Jl. Gedong Panjang,,10 dan 12,Pekojan,Tambora,Jakarta Barat,Pembersihan Lingkungan,LN,Lain-Lain,,,,,,LN,Lain,Banjir,10:05,5,1,6,0,4,30,,0,0,0,0,-,-,-,-,1,0,0,NA,Kegiatan Baksos pembersihan linkungan pasca banjir,
518,2/10/2013,Bencana pada Air (operasi penyelamatan pada Air),Petugas Pemadam,8:00,"Jl. Duri Dalam, Gg. Grindo",10,5,Duri Selatan,Tambora,Jakarta Barat,Pembersihan Lingkungan,LN,Lain-Lain,,,,,,LN,Lain,Banjir,8:05,5,5,25,0,3,30,,0,0,0,0,-,-,-,-,1,0,0,NA,Kegiatan Baksos pembersihan linkungan pasca banjir,
519,2/10/2013,Bencana Kebakaran,Petugas Instansi Lain,22:15,Jl. Ahmad Yani,,,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,Mobil,KD,Kendaraan,,,,,,LS,Listrik,Arus Pendek Listrik,22:19,4,1,4,0,0,30,6,0,0,0,0,-,-,-,1,-,0,0,40000000,Diduga akibat konsleting pada tape/ radio mobil. Sehingga mengakibatkan kebakaran.,
520,2/10/2013,Bencana pada Air (operasi penyelamatan pada Air),Petugas Pemadam,8:00,Jl. Begawan,,7,Cililitan,Kramat Jati,Jakarta Timur,Pembersihan Lingkungan,LN,Lain-Lain,,,,,,LN,Lain,Banjir,8:05,5,1,6,0,8,30,,0,0,0,0,-,-,-,-,1,0,0,NA,Kegiatan Baksos pembersihan linkungan pasca banjir,
521,2/11/2013,Bencana Kebakaran,Masyarakat,4:20,"Jl. Komplek Duta Mas, Blok A3 No. 26",2,12,Jelambar Baru,Grogol Petamburan,Jakarta Barat,Rumah Makan,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,4:24,4,3,15,0,0,15,12,0,0,0,0,-,1,-,-,-,0,0,5750000,"Diduga akibat konsleting pada alat elektronik, sehingga membakar sebagian ruang dapur.","Yang terbakar : 1 buah presto, 1 Buah AC Split dan sebagian ruang dapur"
522,2/11/2013,Bencana Kebakaran,Masyarakat,13:45,Jl. Karmel Raya,,,Kebon Jeruk,Kebun Jeruk,Jakarta Barat,Tiang Listrik,LN,Lain-Lain,,,,,,LS,Listrik,Arus Pendek Listrik,13:48,3,1,4,0,0,15,4,0,0,0,0,-,-,-,-,1,0,0,2000000,Diduga dari adanya kabel yang terkelupas hingga menimbulkan percikan api.,
523,2/11/2013,Bencana Kebakaran,Petugas Instansi Lain,16:00,Jl. Pergudangan Kosambi Dadap,,,Tangerang,Tangerang,Kota Tangerang,Gudang,BU,Bangunan Umum dan Perdagangan,,,,BM,Bangunan Menengah,LS,Listrik,Arus Pendek Listrik,16:30,30,2,8,0,3,0,"1,200",0,0,0,0,,2,,,,NA,NA,1000000000,Diduga dari arus pendek listrik pada box panel listrik di dalam gudang sehingga menimbulkan percikan api dan membesar.,2 buah Gudang kerugian 1 milyar rupiah
524,2/12/2013,Pertolongan Gawat Darurat (Ambulan Transportasi).,Masyarakat,14:30,Jl. Tipar Cakung No.4,1,4,Semper Barat,Cilincing,Jakarta Utara,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Hujan Deras Angin Kencang,14:35,5,2,10,0,0,30,,0,0,0,0,-,-,-,-,1,0,0,NA,Akibat Angin kencang sehingga satu pohon tumbang,
525,2/12/2013,Bencana Kebakaran,Masyarakat,17:20,Jl. Karang Kanya II,7,16,Pluit,Penjaringan,Jakarta Utara,Warung Nasi,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,17:25,5,5,25,0,0,25,28,0,0,0,0,-,1,-,-,-,0,0,20000000,"Hubungan singkat di atas plafon, api membesar sehingga terjadi kebakaran",
526,2/13/2013,Bencana Kebakaran,Masyarakat,13:15,"Jl. Kramat 3 Dalam, Gg. Kebon Sayur No. 20",7,8,Kwitang,Senen,Jakarta Pusat,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,13:17,2,28,125,0,1,35,300,0,0,0,0,-,-,-,-,-,39,156,750000000,"Diduga terjadi korsluiting pada toko sepatu, kemudian menyambar bahan yang mudah terbakar dan api membesar.",
527,2/13/2013,Bencana Kebakaran,Masyarakat,16:30,"Jl. Tipar Halim, Kel. Mekar Sari - Kec. Cimanggis",6,6,Depok,Depok,Kota Depok,Gudang,BI,Bangunan Industri,,,,BR,Bangunan Rendah,LN,Lain,Percikan Las,16:40,10,5,25,0,1,0,200,0,0,0,0,,,1,,,NA,NA,300000000,"Diduga akibat percikan las yang menyambar bahan yang mudah terbakar, kemudian api membakar dan membakar gudang alat kebersihan",
528,2/13/2013,Bencana Kebakaran,Masyarakat,18:20,"Jl. Kota Baru, Bandar kemayoran, Rajawali Selatan Raya Blok C ",4,2,Pademangan Timur,Pademangan,Jakarta Utara,PT. Mutanic Indovat,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,18:25,5,19,95,0,3,15,750,0,0,0,0,-,2,-,-,-,0,0,20000000000,"Diduga akobat korsleting pada ruang komputer, kemudian menyambar bahan yang mudah terbakar sehingga api membesar.","Pemilik Bp. Khong (54 Th). PT. MAAL MITRA, PT MUTANIC INDOVAT"
529,2/13/2013,Bencana Kebakaran,Petugas Instansi Lain,22:28,Jl. Kp. Melayu Kecil No. 15,10,11,Bukit Duri,Tebet,Jakarta Selatan,Kulkas,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LN,Lain,Lilin,22:30,2,5,25,0,0,32,20,0,0,0,0,-,-,-,-,1,1,5,2000000,Diduga akibat lilin yang dinyalakan diatas kulkas dan tidak terkontrol. Sehingga membakar kulkas kemudian api membesar.,
530,2/13/2013,Bencana Kebakaran,Masyarakat,21:28,"Jl. Kalpataru No 11, Kel. Larangan Indah, Kec. Larangan",5,7,Tangerang,Tangerang,Kota Tangerang,Korsleting saklar,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,21:30,2,6,30,0,1,47,240,0,0,0,0,1,,,,,1,3,600000000,Diduga akibat korseleting listrik yang terjadi pada saklar listrik. Kemudian menyambar bahan- bahan yang mudah terbakar sehingga api membakar rumah tersebut.,
531,2/15/2013,Bencana Kebakaran,Masyarakat,1:10,Jl. Aji Nurus Saadan,3,11,Bekasi,Bekasi,Kota Bekasi,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,1:35,25,2,8,0,2,9,800,0,0,0,0,8,,,,,8,20,500000000,Diduga hubungan arus pendek listrik di atas plapon hingga terjadi kebakaran,
532,2/15/2013,Bencana Kebakaran,Petugas Pemadam,8:55,JL. Jatinegara Timur,4,6,Bali Mester,Jatinegara,Jakarta Timur,PT .Kwintang LT 2,BI,Bangunan Industri,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,9:00,5,7,35,0,0,25,6,0,0,0,0,-,-,1,-,-,0,0,10000000,"Diduga Akibat konsleting AC,Timbul Percikan Api Sehingga Terjadi kebakaran",
533,2/15/2013,Bencana Kebakaran,Masyarakat,17:00,Jl. Karet Pasar Baru II Gg. Buaya,01& 03,5,Karet Tengsin,Tanah Abang,Jakarta Pusat,Rumah Tinggal,BP,Bangunan Perumahan,Rumah Tinggal,BP,Bangunan Perumahan,BR,Bangunan Rendah,KP,Kompor,Gas,17:02,2,10,52,0,0,30,250,0,0,0,0,5,-,-,-,-,5,25,10000000,Diduga dari selang kompor gas yang bocor sehingga terjadi kebakaran,
534,2/16/2013,Bencana Kebakaran,Masyarakat,4:47,JL. Tebet Timur Dalam 2c,2,4,Tebet Timur,Tebet,Jakarta Selatan,Dispenser dan kulkas,LN,Lain-Lain,,,,,,LS,Listrik,Arus Pendek Listrik,4:53,6,2,10,0,0,16,12,0,0,0,0,-,-,-,-,1,1,2,5000000,"Diduga Akibat Konsleting Listrik pada Dispenser ,timbul percikan api sehingga membakar dispenser dan kulkas",
535,2/17/2013,Bencana Kebakaran,Masyarakat,0:25,Jl. Peternakan III.,2,7,Kapuk,Cengkareng,Jakarta Barat,Rumah Tinggal semi permanen,BP,Bangunan Perumahan,Rumah Tinggal,BP,Bangunan Perumahan,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,0:27,2,19,95,0,1,35,250,0,0,0,0,8,2,-,2,-,10,50,30000000,Diduga terjadi hubungan arus pendek listrik PLN pada kipas angin sehingga merambat ke plapon dan dinding triplek.,
536,2/17/2013,Bencana pada Air (operasi penyelamatan pada Air),,7:30,Jl. Pesanggrahan / Pademangan Timur 8,3,10,Pademangan Timur,Pademangan,Jakarta Utara,pembersihan,,,,,,,,,,,7:35,5,3,15,0,3,30,,0,0,0,0,-,-,-,-,-,0,0,NA,Kegiatan Kebersihan,
537,2/17/2013,Bencana Bangunan Runtuh (operasi penyelamatan Collapse Structure).,Petugas Instansi Lain,10:00,Jl. Sungai Bambu,4,1,Sungai Bambu,Tanjung Priok,Jakarta Utara,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Hujan Deras Angin Kencang,10:05,5,2,10,0,5,0,,0,0,0,0,-,-,-,-,1,0,0,NA,Hujan Dan Angin Kencang Yang Berakibat Pohon Tumbang,
538,2/17/2013,Bencana Kebakaran,Masyarakat,21:21,Jl. Pegadungan,2,11,Pegadungan,Kalideres,Jakarta Barat,Gardu listrik,LN,Lain-Lain,Rumah Tinggal,BP,Bangunan Perumahan,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,21:25,4,20,100,0,0,39,42,0,0,0,0,1,-,-,-,1,1,1,250000000,Diduga arus pendek pada sebuah gardu listrik hingga terjadi kebakaran dan merambat ke rumah,
539,2/18/2013,Bencana Kebakaran,Masyarakat,11:05,Jl. Daan Mogot Raya,6,5,Duri Kepa,Kebun Jeruk,Jakarta Barat,Warung Nasi Padang,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,KP,Kompor,Kompor,11:10,5,9,45,0,0,15,48,0,0,0,0,-,1,-,-,-,0,0,50000000,"Diduga akibat kebocoran selang kompor gas, kompor meledak sehingga terjadi kebakaran",
540,2/18/2013,Bencana Kebakaran,Masyarakat,18:00,Jl. Krapu,1,11,Pluit,Penjaringan,Jakarta Utara,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LN,Lain,Lilin,18:05,5,3,14,0,0,30,16,0,0,0,0,1,-,-,-,-,0,0,5000000,"Lilin terjatuh ke kasur, dan membakar kasur sehingga terjadi kebakaran",
541,2/19/2013,Bencana Kebakaran,Masyarakat,12:25,"Jl. Cipinang Cimpedak I, No. 25",12,6,Cipinang Cempedak,Jatinegara,Jakarta Timur,Gardu listrik,LN,Lain-Lain,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,12:35,10,2,10,0,0,40,5,0,0,0,0,-,-,-,-,1,0,0,10000000,"Diduga terjadi korsluiting pada gardu listrik, sehingga menimbulkan percikan api dan membakar gardu listrik itu sendiri.",
542,2/19/2013,Bencana Kebakaran,Masyarakat,14:20,Jl. Taruna Raya,5,10,Pulogadung,Pulogadung,Jakarta Timur,Kabel Listrik PLN,LN,Lain-Lain,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,14:30,10,1,5,0,0,40,5,0,0,0,0,-,-,-,-,1,0,0,500000,"Diduga terjadi korsluiting pada kabel listrik, sehingga menimbulkan percikan api dan membakar kabel listrik itu sendiri.",
543,2/19/2013,Bencana Kebakaran,Masyarakat,12:15,"Jl. Hamka, No. 50. Kp. Gaga. Kel. Larangan Selatan, Kec. Larangan",5,1,Tangerang,Tangerang,Kota Tangerang,Toko Gypsum,BU,Bangunan Umum dan Perdagangan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,12:20,5,1,5,0,1,35,16,0,0,0,0,,1,,,,NA,NA,10000000,"Diduga akibat korsleting pada alat gypsum, kemudian menyambar bahan- bahan yang mudah terbakar dan api pun membesar.",
544,2/19/2013,Bencana Kebakaran,Masyarakat,19:13,Jl. Makmur,4,7,Lubang Buaya,Cipayung,Jakarta Timur,Kabel Listrik PLN,LN,Lain-Lain,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,19:20,7,1,5,0,0,27,,0,0,0,0,-,-,-,-,1,0,0,500000,Diduga akibat arus pendek yangterjadi pada kabel listrik PLN. Kemudian percikan api menjalar dengan cepat dan membesar.,
545,2/20/2013,Bencana Kebakaran,Petugas Instansi Lain,11:10,Jl. Dharma Wanita III No.1,12,1,Rawa Buaya,Cengkareng,Jakarta Barat,Pabrik Pengolahan Kayu,BI,Bangunan Industri,,,,BR,Bangunan Rendah,LN,Lain,Tumpahan Tinner,11:20,10,13,65,0,0,30,24,0,0,0,0,-,-,1,-,-,0,0,20000000,Tumpahan Tinner / Pengering Cat yang mengenai mesin blower dan cerobong hingga terbakar,
546,2/20/2013,Bencana Kebakaran,Masyarakat,19:10,Jl. Utan Jati,5,11,Pegadungan,Kalideres,Jakarta Barat,Kabel Tiang Listrik,LN,Lain-Lain,,,,,,LS,Listrik,Arus Pendek Listrik,19:12,2,1,5,0,0,5,2,0,0,0,0,-,-,-,-,1,0,0,750000,Diduga Dari arus pendek pada tiang listrik sehingga kabel terbakar,
547,2/20/2013,Bencana Kebakaran,Masyarakat,15:15,Jl. Wolter Monginsidi No. 2,,,Petogogan,Kebayoran Baru,Jakarta Selatan,Panel Listrik Restoran,LN,Lain-Lain,,,,,,LS,Listrik,Arus Pendek Listrik,15:16,1,3,15,0,0,3,,0,0,0,0,-,-,-,-,1,0,0,1000000,Diduga arus pada panel terlalu besar sehingga panas dan terbakar,
548,2/20/2013,Bencana Kebakaran,Masyarakat,19:25,Jl. Gendang,16,9,Duren Sawit,Duren Sawit,Jakarta Timur,Kabel Tiang Listrik,LN,Lain-Lain,,,,,,LS,Listrik,Arus Pendek Listrik,19:30,5,1,5,0,0,15,9,0,0,0,0,-,-,-,-,1,0,0,500000,Diduga Dari terbakarnya kabel tiang listrik sehingga api merambat mengenai rumah tinggal,
549,2/21/2013,Bencana Kebakaran,Masyarakat,0:05,Jl. Prof. Supomo No. 15,3,3,Menteng Dalam,Tebet,Jakarta Selatan,Rumah Kosan,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,0:10,5,7,35,0,0,40,120,0,0,0,0,1,-,-,-,-,0,0,100000000,Diduga dari arus pendek listrik diatas pelafon sehingga terjadi kebakaran,
550,2/21/2013,Bencana Kebakaran,Masyarakat,17:20,Jl. Bakti Raya,13,3,Kebon Bawang,Tanjung Priok,Jakarta Utara,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,17:30,10,1,5,0,0,25,18,0,0,0,0,1,-,-,-,-,0,0,5000000,"Hubungan singkat di atas plafon, api membesar sehingga sebagian rumah tinggal terbakar",
551,2/22/2013,Bencana Kebakaran,Masyarakat,9:30,"Jl. Damai II, No. 2",2,2,Cipete Utara,Kebayoran Baru,Jakarta Selatan,Rumah Tinggal,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,9:35,5,15,75,0,1,5,336,0,0,0,1,1,-,-,-,-,1,6,900000000,"Akibat Korsluiting listrik pada tekdus (sambungan kabel), kemudian menyambar bahan yang mudah terbakar. Sehingga menghabiskan bangunan lantai 2 rumah tersebut.",Korban luka atas nama Bp. Hutapea (70th)
552,2/22/2013,Bencana Kebakaran,Masyarakat,18:40,"Jl Danau Sunter Utara BIB, No. 4",1,10,Sunter Agung,Tanjung Priok,Jakarta Utara,Toko Alat- alat Olah Raga,BU,Bangunan Umum dan Perdagangan,,,,BM,Bangunan Menengah,LS,Listrik,Arus Pendek Listrik,18:45,5,15,60,0,4,20,120,0,0,0,0,-,1,-,-,-,0,0,2000000000,"Diduga akibat korsluiting listrik pada panel listrik, kemudian percikan api menyambar alat olah raga yang mudah terbakar. Kemudian api membesar.",Pemilik Bapak Salinder (48th)
553,2/23/2013,Bencana Bangunan Runtuh (operasi penyelamatan Collapse Structure).,Masyarakat,14:30,Jl. Komplek Kodamar,3,9,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,Pohon Tumbang,LN,Lain-Lain,,,,,,LN,Lain,Hujan Deras Angin Kencang,14:35,5,1,5,0,1,9,,0,0,0,0,-,-,-,-,1,0,0,NA,Diduga dari angin kencang sehingga pohon tumbang,
554,2/24/2013,Bencana Kebakaran,Petugas Pemadam,8:50,Jl. Budi Mulya,8 & 14,12,Pademangan Barat,Pademangan,Jakarta Utara,Rumah Petakan,BP,Bangunan Perumahan,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,8:55,5,32,160,0,3,40,800,0,0,0,0,400,-,-,-,-,450,1200,700000000,"Hubungan singkat di atas plafon, api membesar sehingga terjadi kebakaran",
555,2/25/2013,Bencana Kebakaran,Petugas Pemadam,19:02,"Jl. Moch Kahfi, Gg. Kayak",10,4,Ciganjur,Jagakarsa,Jakarta Selatan,Kabel Listrik PLN,LN,Lain-Lain,,,,BR,Bangunan Rendah,LS,Listrik,Arus Pendek Listrik,19:05,3,1,5,0,0,13,,0,0,0,0,-,-,-,-,1,0,0,2000000,"Diduga akibat korsluiting pada kabel layang PLN, kemudian percikan api membesar dan membakar kabel listrik.",
