nama_pos_pemadam,kotamadya,kecamatan,kelurahan,rt,rw,kodepos,alamat,personil_group_a,personil_group_b,personil_group_c,kendaraan,latitude,longitude
Pos Batu Ampar,Jakarta Timur,Kramat Jati,Batu Ampar,,,13520,Jl. Batu Ampar,9,8,8,4,-6.2670408,106.8658134
Kantor Sektor Makasar,Jakarta Timur,Makasar,Kebon Pala,,,13650,Jl. Kamboja,8,8,8,4,-6.2638112,106.8801365
Kantor Sektor,Jakarta Timur,Duren Sawit,Pondok Bambu,,,13430,Jl. Saluran Inspeksi Kalimalang,9,9,9,6,-6.2468065,106.9092197
Pos Cipinang Cimpedak,Jakarta Timur,Jatinegara,Cipinang Cempedak,,,13340,Jl. Kebon Nanas,8,9,8,4,-6.2319511,106.8772772
Pos Klender/Malaka,Jakarta Timur,Duren Sawit,Malaka Jaya,,,13460,Jl. Bunga Rampai No. 10,3,3,3,1,-6.2245618,106.9344162
Pos Cipinang,Jakarta Timur,Pulo Gadung,Pisangan Timur,,,13230,Jl. Pisangan Lama Timur,4,3,4,1,-6.2131532,106.8855868
Pos Walikota JT,Jakarta Timur,Cakung,Pulogebang,,,13950,Jl. Sentra Primer,12,12,12,4,-6.2104868,106.9466389
Kantor Sudin Jakarta Timur,Jakarta Timur,Matraman,Kebon Manggis,,,13150,Jl. Matraman Raya,18,18,16,10,-6.20887,106.85918
Sektor Pemuda,Jakarta Timur,Pulo Gadung,Jati,,,13220,Jl. Pemuda,5,7,8,5,-6.1933622,106.8911175
Pos Utan Kayu,Jakarta Timur,Matraman,Utan Kayu Utara,,,13120,Jl. Pengayoman,3,3,3,1,-6.193068,106.8699296
Kantor Sektor,Jakarta Timur,Cakung,Cakung,,,13910,Jl. Cakung Barat,7,8,8,5,-6.1909521,106.9430674
Pos Kayu Putih,Jakarta Timur,Pulo Gadung,Kayu Putih,,,13210,Jl. Pulo Mas Barat,4,3,4,1,-6.1768492,106.8789773
Pos Duren Sawit,Jakarta Timur,,,,,,Jl. Swadaya,3,4,4,1,,
Pos Cipayung,Jakarta Timur,,,,,,Jl. Raya Hankam,4,4,4,1,,
Kantor Sudin Jakarta Utara,Jakarta Utara,Cilincing,Semper Barat,,,14130,Jl. Komp. Pemadam Kebakaran No. 113,32,32,20,13,-6.21774,106.836849
Pos Pegangsaan Dua,Jakarta Utara,Kelapa Gading,Pegangsaan Dua,,,14250,Jl. Pegangsaan Dua,5,4,5,1,-6.168065,106.918169
Pos Kelapa Gading,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,,,14240,Jl. Pelepah Indah Raya No. 3,5,5,5,2,-6.157116,106.904001
