nama_pos_pemadam,kotamadya,alamat,keterangan,jumlah
"Kantor Sektor Jagakarsa","Jakarta Selatan","Jl. M. Kahfi 1 - Jagakarsa - Jagakarsa","Personil - Group A","6"
"Pos Srengseng Sawah","Jakarta Selatan","Jl. Raya Srengseng Sawah - Srengseng Sawah - Jagakarsa","Personil - Group A","5"
"Pos Ciganjur","Jakarta Selatan","Jl. Brigif","Personil - Group A","4"
"Kantor Sudin Jakarta Timur","Jakarta Timur","Jl. Matraman Raya","Personil - Group A","18"
"Pos Utan Kayu","Jakarta Timur","Jl. Pengayoman","Personil - Group A","3"
"Pos Kayu Putih","Jakarta Timur","Jl. Pulo Mas Barat","Personil - Group A","4"
"Pos Cipinang","Jakarta Timur","Jl. Ps. Induk Cipinang","Personil - Group A","4"
"Sektor Pemuda","Jakarta Timur","Jl. Pemuda","Personil - Group A","5"
"Kantor Sektor","Jakarta Timur","Jl. Cakung Barat","Personil - Group A","7"
"Pos Walikota JT","Jakarta Timur","Jl. Primer","Personil - Group A","12"
"Pos Cipinang Cimpedak","Jakarta Timur","Jl. Kebon Nanas","Personil - Group A","8"
"Kantor Sektor","Jakarta Timur","Jl. Saluran Inspeksi Kalimalang","Personil - Group A","9"
"Pos Duren Sawit","Jakarta Timur","Jl. Swadaya","Personil - Group A","3"
"Pos Klender/Malaka ","Jakarta Timur","Jl. Bunga Rampai","Personil - Group A","3"
"Kantor Sektor Makassar","Jakarta Timur","Jl. Kamboja","Personil - Group A","8"
"Pos Batu Ampar","Jakarta Timur","Jl. Batu Ampar","Personil - Group A","9"
"Kantor Sektor","Jakarta Timur","Jl. Poncol","Personil - Group A","7"
"Pos Kramat Jati","Jakarta Timur","Jl. Raya Bogor","Personil - Group A","4"
"Pos Cipayung","Jakarta Timur","Jl. Raya Hankam","Personil - Group A","4"
"Pos Taman Mini","Jakarta Timur","Komplek Taman Mini Indonesia Indah","Personil - Group A","3"
"Pos Diklatkar","Jakarta Timur","Jl. Raya Ciracas No.113","Personil - Group A","4"
"Pos Pulau Karya","Kabupaten Kepulauan Seribu","Pulau Karya Kepulauan seribu","Personil - Group A","11"
"Kantor Sudin Jakarta Pusat","Jakarta Pusat","Jl. KH. Zainul Arifin No.71 Jakarta Pusat","Personil - Group B","42"
"Pos Jati Baru","Jakarta Pusat","Jl. Taman Jati Baru","Personil - Group B","3"
"Pos Setneg","Jakarta Pusat","Jl. Veteran","Personil - Group B","3"
"Pos Balaikota","Jakarta Pusat","Jl. Medan Merdeka Selatan","Personil - Group B","3"
"Pos Walikota JP","Jakarta Pusat","Jl. Tanah Abang 1","Personil - Group B","3"
"Pos Tanah Abang","Jakarta Pusat","Jl. Fachrudin","Personil - Group B","3"
"Pos Kebon Melati","Jakarta Pusat","Jl. H. Awaludin Kel. Kebon Melati","Personil - Group B","4"
"Pos Karet","Jakarta Pusat","Jl. Penjernihan Raya Kel. Bendungan Hilir","Personil - Group B","5"
"Pos Bungur","Jakarta Pusat","Jl. Bungur Besar Raya Kel. Bungur","Personil - Group B","6"
"Pos MPR/DPR","Jakarta Pusat","Jl. Gatot Subroto","Personil - Group B","6"
"Pos TIM","Jakarta Pusat","Jl. Cikini Raya","Personil - Group B","7"
"Sektor Cempaka Putih","Jakarta Pusat","Jl. Perkantoran Rawa Kerbau","Personil - Group B","9"
"Pos Cempaka Putih","Jakarta Pusat","Jl. Cempaka Putih Barat Kel. Cempaka Putih","Personil - Group B","5"
